study_id	genes	source_url	title	year	review_scope	model	intervention	outcome	metabolite_readout	limits	evidence_class	intervention_direction	web_ref	novelty_note	bibliography_note	publication_integrity_note	new_patient_or_experimental_data	is_legacy_only	source_publication_key	same_study_group
S067	NNMT	https://pubmed.ncbi.nlm.nih.gov/35988817/	NNMT promotes breast cancer metastasis through PP2A/MEK/ERK/c-Jun/ABCA1-associated cholesterol remodeling	2022	PRIMARY_ABSTRACT	TNBC相关细胞/转移背景	NNMT相关遗传干预	膜胆固醇/流动性及转移表型改变	胆固醇变化；不是自动证明1-MNA介导	不同代谢和非代谢环节不能合并为同一机制	GENETIC_BRCA	待解释	turn160428		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35988817	https://pubmed.ncbi.nlm.nih.gov/35988817
S068	NNMT	https://pubmed.ncbi.nlm.nih.gov/31101119/	Nicotinamide N-methyltransferase enhances chemoresistance in breast cancer through SIRT1	2019	PRIMARY_ABSTRACT	乳腺癌ADM/PTX处理模型	NNMT过表达，SIRT1 siRNA或EX527干预	减轻化疗诱导凋亡；SIRT1干预可逆转	摘要涉及1-MNA	药物背景依赖，不能等同未治疗肿瘤普遍依赖	GENETIC_BRCA	待解释	turn160428		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/31101119	https://pubmed.ncbi.nlm.nih.gov/31101119
S069	NAMPT	https://pubmed.ncbi.nlm.nih.gov/25263164/	Nicotinamide phosphoribosyltransferase regulates cancer-cell metastatic behavior through integrin-associated mechanisms	2014	PRIMARY_ABSTRACT	乳腺癌转移模型，具体细胞系需全文核定	NAMPT基因抑制	NAMPT降低反而增强转移侵袭相关行为	NAD降低、整合素相关变化	与部分生长抑制研究方向不同；区分原发生长、转移与营养环境	GENETIC_BRCA_COUNTEREVIDENCE	不支持普遍抑制；需分终点	turn160428		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/25263164	https://pubmed.ncbi.nlm.nih.gov/25263164
S070	NAMPT	https://pubmed.ncbi.nlm.nih.gov/31141164/	NAMPT contributes to tamoxifen resistance through 14-3-3ζ/AKT/PKM2 signaling	2019	PRIMARY_ABSTRACT	乳腺癌他莫昔芬耐药细胞及异种移植背景	NAMPT抑制剂FK866、表达操作	提示抑制增殖/提高药物反应	NAD相关，非CAMP烟酰胺介导证明	摘要部分方向表述需全文核对；药物效应不直接等同遗传效应	DRUG_CONTEXT_BRCA	待解释	turn160428		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/31141164	https://pubmed.ncbi.nlm.nih.gov/31141164
S071	NAMPT	https://doi.org/10.1021/acs.jmedchem.6c00454	Discovery of Potent NAMPT-Targeting PROTACs with Antitumor Activity and Macrophage Reprogramming	2026	PRIMARY_ABSTRACT	MDA-MB-231、4T1、原位乳腺癌/巨噬细胞背景	PROTAC A13降解干预	生长、迁移/侵袭及肺转移下降；巨噬细胞状态变化	未核实对应CAMP烟酰胺数值	药物靶向证据，不是本项目DepMap或临床安全性	DRUG_CONTEXT_BRCA	待解释	turn160428		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://doi.org/10.1021/acs.jmedchem.6c00454	https://doi.org/10.1021/acs.jmedchem.6c00454
S072	OAT	https://pubmed.ncbi.nlm.nih.gov/33499132/	Breast Cancer-Derived Microvesicles Are the Source of Functional Metabolic Enzymes	2021	PRIMARY_ABSTRACT	MDA-MB-231、MCF10A及细胞外囊泡	检测囊泡代谢酶/活性，非OAT特异敲低	提示囊泡可携带活性代谢酶	酶活相关；无OAT扰动—CAMP代谢物—肿瘤终点链	不得将胰腺癌OAT敲低研究当乳腺癌验证	BRCA_CONTEXT_NO_GENE_PERTURBATION	待解释	turn862129		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/33499132	https://pubmed.ncbi.nlm.nih.gov/33499132
S073	ODC1	https://doi.org/10.1002/advs.202404853	Polyamine Anabolism Promotes Chemotherapy-Induced Breast Cancer Stem Cell Enrichment	2024	PRIMARY_RESULTS_TEXT_EXCERPT	MDA-MB-231及肿瘤起始/复发模型	shODC1、耐shRNA的ODC1回补、亚精胺救援；PTX背景	抑制PTX诱导ALDH+富集及肿瘤起始，延迟复发；已形成原发瘤生长速率/PTX敏感性并未同样改变	亚精胺救援，不等于CAMP腐胺直接介导	干细胞富集/复发终点不能改写为普遍缩瘤	GENETIC_BRCA	待解释	turn862129	已有治疗后多胺适应机制；需要新亚型或患者复现	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://doi.org/10.1002/advs.202404853	https://doi.org/10.1002/advs.202404853
S074	ARG2	https://pubmed.ncbi.nlm.nih.gov/30759381/	Mapping Metabolic Events in the Cancer Cell Cycle Reveals Arginine Catabolism in S/G2/M	2019	PRIMARY_ABSTRACT	细胞周期/转化模型；乳腺癌分型表达，具体基因干预是否为BRCA细胞待核定	ARG2敲低、代谢示踪	生长下降及G2/M受阻	精氨酸代谢	摘要中的乳腺癌表达不自动把所有功能实验归为乳腺癌	MODEL_SCOPE_UNRESOLVED	待解释	turn862129		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/30759381	https://pubmed.ncbi.nlm.nih.gov/30759381
S075	PANK2	https://pubmed.ncbi.nlm.nih.gov/35896750/	PI3K drives de novo synthesis of coenzyme A from vitamin B5	2022	PRIMARY_ABSTRACT	PI3K/AKT代谢模型；乳腺癌适用范围待全文核定	PANK2/PANK4磷酸化与代谢调节研究	支持CoA合成调控	维生素B5/CoA	关键功能结论涉及PANK4；不可全部归到PANK2	MODEL_SCOPE_UNRESOLVED	待解释	turn766105		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35896750	https://pubmed.ncbi.nlm.nih.gov/35896750
S076	PANK3	https://doi.org/10.1038/s41598-018-20215-5	Comprehensive network of miRNA-induced intergenic interactions in breast cancer	2018	PRIMARY_ABSTRACT_AND_TEXT_EXCERPT	乳腺癌计算网络/预后资料	非PANK3基因扰动	PANK3等进入关联/预测网络	未核实对应CAMP代谢物变化	预后签名不构成功能支持	ASSOCIATION_ONLY	待解释	turn766105		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://doi.org/10.1038/s41598-018-20215-5	https://doi.org/10.1038/s41598-018-20215-5
S077	PCYT1A	https://pubmed.ncbi.nlm.nih.gov/37230459/	The bound polyphenols of foxtail millet inner shell inhibit breast cancer by promoting lipid accumulation-induced autophagic death	2023	PRIMARY_ABSTRACT	乳腺癌细胞，具体系需全文核定	BPIS、阿魏酸/对香豆酸处理	PCYT1A上调伴甘油磷脂积累及自噬性死亡	脂质组支持甘油磷脂积累	混合提取物/药物背景；摘要未充分核实PCYT1A特异敲低	DRUG_CONTEXT_BRCA	待解释	turn160555search5		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/37230459	https://pubmed.ncbi.nlm.nih.gov/37230459
S078	PCYT2	https://pubmed.ncbi.nlm.nih.gov/22339418/	Breast cancer cells adapt to metabolic stress by increasing ethanolamine phospholipid synthesis and Pcyt2 activity	2012	PRIMARY_ABSTRACT	乳腺癌细胞血清不足/营养应激	营养干预、Pcyt2表达/磷酸化/活性检测	PE合成及Pcyt2活性提高	CDP-乙醇胺/PE生物合成	不是已证实基因抑制降低肿瘤生长的结果	PATHWAY_CONTEXT_BRCA	待解释	turn160555search14		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/22339418	https://pubmed.ncbi.nlm.nih.gov/22339418
S079	PCYT2	https://www.nature.com/articles/s41598-025-96405-9	PCYT2 mediates ovarian epithelial cancer metastasis by regulating cell membrane fluidity	2025	PRIMARY_RESULTS_TEXT_EXCERPT	SKOV3、OVCAR3卵巢癌	PCYT2敲低、AMPK/FOXO1通路抑制剂救援	迁移/侵袭改变	PE/膜流动性	明确是卵巢癌，不计作BRCA干预	OTHER_CANCER_ONLY	待解释	turn160555search6		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.nature.com/articles/s41598-025-96405-9	https://www.nature.com/articles/s41598-025-96405-9
S080	PEPD	https://pubmed.ncbi.nlm.nih.gov/38503142/	Targeted dual degradation of HER2 and EGFR overcomes therapy resistance in HER2-positive breast cancer	2024	PRIMARY_ABSTRACT	曲妥珠单抗耐药HER2+细胞、原位PDX、脑/肺病灶	外源重组PEPD G278D；HER2/EGFR siRNA检验靶点	抑制生长及相关转移病灶	不涉及CAMP Gly-Pro介导	酶失活PEPD变体的受体降解作用，不能推断应抑制内源PEPD	NONCATALYTIC_PROTEIN_INTERVENTION_BRCA	待解释	turn160555search2		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38503142	https://pubmed.ncbi.nlm.nih.gov/38503142
S081	PEPD	https://pubmed.ncbi.nlm.nih.gov/42009845/	A degrader of HER2 and EGFR abolishes p95HER2 and shows robust antitumor efficacy in HER2-positive breast cancer	2026	PRIMARY_ABSTRACT	p95HER2、HER2+耐药细胞/PDX	PEPD G278D蛋白给药	相关PDX肿瘤消除/生长受抑	非二肽水解机制	相关研究系列；不能计为CAMP代谢机制独立验证	NONCATALYTIC_PROTEIN_INTERVENTION_BRCA	待解释	turn160555search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/42009845	https://pubmed.ncbi.nlm.nih.gov/42009845
S082	PFKL	https://doi.org/10.1021/acs.jmedchem.6c01360	Targeting PFKL with S-Benzylisothiourea Imidazolium Salt Derivatives to Suppress Glycolysis and Treat Breast Cancer	2026	PRIMARY_ABSTRACT	乳腺癌细胞及体内肿瘤模型；具体系需全文核定	化合物10w；PFKL敲低背景靶点依赖检验；DARTS/SPR/CETSA/酶活	抑制糖酵解/增殖、诱导凋亡；增强anti-PD-L1效应	糖酵解/酶活，未证实F6P介导	药物主导且已有靶点依赖支持；非临床药效证明	DRUG_GENETIC_ON_TARGET_BRCA	待解释	turn617499search0	2026年已发表PFKL药物研究，不能声称首次	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://doi.org/10.1021/acs.jmedchem.6c01360	https://doi.org/10.1021/acs.jmedchem.6c01360
S083	PFKP	https://pubmed.ncbi.nlm.nih.gov/34751415/	Platelet isoform of phosphofructokinase accelerates malignant features in breast cancer	2021	PRIMARY_ABSTRACT	MCF7、SK-BR-3、MDA-MB-231	PFKP敲低	三系增殖/侵袭下降；SK-BR-3和MDA-MB-231迁移下降	未核实F6P	体外跨亚型支持，不等同所有临床亚型依赖	GENETIC_BRCA	待解释	turn617499search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/34751415	https://pubmed.ncbi.nlm.nih.gov/34751415
S084	PFKP	https://link.springer.com/article/10.1186/s43556-026-00454-z	PFKP is required for chemoresistant phenotype of breast cancer through modulating the formation of CD133+ cancer stem like cells	2026	PRIMARY_RESULTS_TEXT_EXCERPT	MDA-MB-231、SK-BR-3	shPFKP与过表达	CD133+干样细胞受PFKP调节、化疗耐受相关	未核实F6P介导	细胞状态与治疗背景，不可替代一般生存依赖	GENETIC_BRCA	待解释	turn617499search2		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://link.springer.com/article/10.1186/s43556-026-00454-z	https://link.springer.com/article/10.1186/s43556-026-00454-z
S085	PGD	https://www.mdpi.com/2079-7737/10/2/85	Oxidative Pentose Phosphate Pathway Enzyme 6-Phosphogluconate Dehydrogenase Plays a Key Role in Breast Cancer Metabolism	2021	PRIMARY_ABSTRACT_AND_METHODS_TEXT	MCF7	MCF7中6PGD/PGD siRNA敲低（方法章节2.2已检得）	增殖/球形成下降，周期阻滞/凋亡，葡萄糖耗用下降/谷氨酰胺耗用上升；ROS无明显变化	代谢通量/营养耗用，CAMP6PG直接变化待查	单一MCF7模型；ROS未增加，不支持把该酶普适定义为氧化应激控制因子；未验证当前CAMP 6PG丰度介导表型。	GENETIC_BRCA	待解释	turn378032search7		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.mdpi.com/2079-7737/10/2/85	https://www.mdpi.com/2079-7737/10/2/85
S086	PMM2	https://pubmed.ncbi.nlm.nih.gov/38266771/	PMM2 controls ERα levels and cell proliferation in ESR1 Y537S variant expressing breast cancer cells	2024	PRIMARY_ABSTRACT	ERα Y537S变异乳腺癌细胞	PMM2 siRNA/耗竭	ESR1/ERα与FOXA1下降、增殖抑制、部分内分泌/CDK4/6药物再敏感	未证实mannose-6-P介导	明确ESR1突变背景；不能外推CAMP未分型队列	GENETIC_BRCA	待解释	turn881966search0	已有精确变异背景研究，研究增量需脱离首次靶点叙述	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38266771	https://pubmed.ncbi.nlm.nih.gov/38266771
S087	PNP	https://pubmed.ncbi.nlm.nih.gov/41502507/	PNP as a Metabolic and Prognostic Driver of Breast Cancer Aggressiveness: Insights from Patient Tissue and Cell Models	2026	PRIMARY_ABSTRACT_AND_FIGURE_CAPTIONS	乳腺癌多细胞系、HER2相关背景	PNP沉默及HER2联合抑制	PNP沉默诱导HER2上升；联合比单独HER2抑制进一步降低活力	未证实guanine介导	不是PNP单药普遍杀伤；细菌PNP-前药体系不等价	GENETIC_BRCA	待解释	turn881966search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/41502507	https://pubmed.ncbi.nlm.nih.gov/41502507
S088	PPA1	https://pubmed.ncbi.nlm.nih.gov/34595179/	PPA1 Promotes Breast Cancer Proliferation and Metastasis Through PI3K/AKT/GSK3β Signaling Pathway	2021	PRIMARY_ABSTRACT	乳腺癌细胞及体内模型，具体系待全文核对	PPA1沉默、过表达及PI3K抑制剂	增殖/转移表型及Slug-EMT受调节	未核实磷酸/PPi变化	不能把PI3K通路表型等同CAMP磷酸机制	GENETIC_BRCA	待解释	turn584460search0		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/34595179	https://pubmed.ncbi.nlm.nih.gov/34595179
S089	PRODH	https://pubmed.ncbi.nlm.nih.gov/28492237/	Proline metabolism supports metastasis formation and could be inhibited to selectively target metastasizing cancer cells	2017	PRIMARY_ABSTRACT	乳腺癌2D/3D；4T1、EMT6.5原位小鼠	PRODH抑制	3D生长、肺转移形成受抑	脯氨酸分解增强	3D与2D/原发瘤终点不同；不能据动物观察声称临床安全	INTERVENTION_METHOD_PENDING	待解释	turn584460search8		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/28492237	https://pubmed.ncbi.nlm.nih.gov/28492237
S090	PRODH	https://pubmed.ncbi.nlm.nih.gov/35163433/	Nonsteroidal Anti-Inflammatory Drugs as PPARγ Agonists Can Induce PRODH/POX-Dependent Apoptosis in Breast Cancer Cells	2022	PRIMARY_ABSTRACT	MCF7	NSAIDs/PPARγ相关药物处理	PRODH升高与ROS依赖凋亡相关	脯氨酸供应/胶原合成相关	多靶点药物，高浓度；不是PRODH过表达单独因果结论	DRUG_CONTEXT_BRCA_COUNTEREVIDENCE	待解释	turn584460search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35163433	https://pubmed.ncbi.nlm.nih.gov/35163433
S091	PRODH2	https://pubmed.ncbi.nlm.nih.gov/40749014/	PRODH2-Mediated Metabolism in the Bone Microenvironment Promotes Breast Cancer Metastasis	2025	PRIMARY_RESULTS_TEXT_EXCERPT	MDA-MB-231/MCF7过表达；骨转移SCP2敲除；破骨细胞/体内骨转移	PRODH2过表达、KO及抑制剂	骨定植/破骨分化/铁死亡抵抗受调节；低附着存活未见同样差异	Hyp→acetyl-CoA→YY1乙酰化→SLC7A11/IL8；Hyp实测	非一般原发瘤结论；Hyp变化与骨吸收反馈，不能用单一消费箭头解释	GENETIC_BRCA	待解释	turn584460search1	与CAMP羟脯氨酸直接相连但已有完整骨转移机制；可作背景参照而非首创	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/40749014	https://pubmed.ncbi.nlm.nih.gov/40749014
S092	PYCR1	https://pubmed.ncbi.nlm.nih.gov/35760868/	Cancer-associated fibroblasts require proline synthesis by PYCR1 for the deposition of pro-tumorigenic extracellular matrix	2022	PRIMARY_ABSTRACT_AND_RESULTS_EXCERPT	乳腺癌CAF、正常成纤维对照、异种移植瘤	CAF中降低PYCR1	减少胶原、体内肿瘤生长和转移；CAF本身增殖未见相应明显下降	谷氨酰胺来源脯氨酸合成、胶原示踪	癌细胞单培养依赖不能评估这一基质机制	GENETIC_BRCA	待解释	turn544194search3	完整CAF脯氨酸机制已发表；新问题须有患者/细胞背景增量	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35760868	https://pubmed.ncbi.nlm.nih.gov/35760868
S093	PYCR1	https://pubmed.ncbi.nlm.nih.gov/37845207/	Pyrroline-5-carboxylate reductase 1 reprograms proline metabolism to drive breast cancer stemness under psychological stress	2023	PRIMARY_ABSTRACT	乳腺癌干性/心理应激模型	PYCR1消除/降低	抑制应激相关肿瘤生长和干性	脯氨酸—cGMP/PKG	特定应激背景；与CAF论文机制不可合并	GENETIC_BRCA	待解释	turn544194search2		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/37845207	https://pubmed.ncbi.nlm.nih.gov/37845207
S094	PYCR2	https://pubmed.ncbi.nlm.nih.gov/38101533/	PYCR2, induced by c-Myc, promotes invasiveness and metastasis of breast cancer by activating AKT signalling	2024	PRIMARY_ABSTRACT	乳腺癌细胞；具体系未在本轮摘要核定	PYCR2沉默，AKT通路分析	侵袭/转移能力降低	未核实脯氨酸变化	不能把AKT表型直接认定脯氨酸介导	GENETIC_BRCA	待解释	turn544194search6		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38101533	https://pubmed.ncbi.nlm.nih.gov/38101533
S095	PYCR3	https://pubmed.ncbi.nlm.nih.gov/38642827/	PYCR3 modulates mtDNA copy number to drive proliferation and doxorubicin resistance in triple-negative breast cancer	2024	PRIMARY_ABSTRACT	TNBC细胞，具体系待全文核定	PYCR3 KO；mtDNA复制抑制模拟	增殖及多柔比星耐药降低，凋亡增加	mtDNA/线粒体呼吸；未确认脯氨酸介导	本文观察线粒体定位；总RNA/家族注释不能代替机制	GENETIC_BRCA	待解释	turn544194search9		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38642827	https://pubmed.ncbi.nlm.nih.gov/38642827
S096	SHMT1	https://pubmed.ncbi.nlm.nih.gov/41267037/	ZNF526 drives tumor growth by enhancing SHMT1-dependent serine metabolism and antioxidant capability in TNBC	2025	PRIMARY_ABSTRACT	TNBC	ZNF526过表达/敲低，SHMT1下游调节	肿瘤生长及抗氧化表型改变	SGOC通量/GSH	摘要不足以确认SHMT1独立遗传干预终点	PATHWAY_CONTEXT_BRCA	待解释	turn668076search11		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/41267037	https://pubmed.ncbi.nlm.nih.gov/41267037
S097	SHMT2	https://pubmed.ncbi.nlm.nih.gov/35968337/	SHMT2 promotes tumor growth through VEGF and MAPK signaling pathway in breast cancer	2022	PRIMARY_ABSTRACT	乳腺癌细胞/异种移植瘤	SHMT2敲低和过表达	体内外生长受调节；MAPK/VEGF相关	RNA-seq；未确认甘氨酸/丝氨酸介导	相关通路不等同酶催化机制	GENETIC_BRCA	待解释	turn668076search8		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35968337	https://pubmed.ncbi.nlm.nih.gov/35968337
S098	SHMT2	https://pubmed.ncbi.nlm.nih.gov/42378651/	Covalent Inhibition of SHMT2 by Gambogic Acid Induces Ferroptosis Through Mitochondrial Collapse in Triple-Negative Breast Cancer	2026	PRIMARY_ABSTRACT	TNBC模型	藤黄酸共价靶向SHMT2、化学蛋白组	线粒体障碍/铁死亡、抗肿瘤活性	代谢/线粒体能量读出	药物主导；基因救援细节待全文，不作为临床有效性	DRUG_CONTEXT_BRCA	待解释	turn668076search15		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/42378651	https://pubmed.ncbi.nlm.nih.gov/42378651
S099	SLC6A6	https://www.mdpi.com/2073-4409/15/2/207	The Taurine-Slc6a6 Axis Promotes Breast Cancer Progression by Alleviating Oxidative Stress and Accelerating Cell Cycle Progression	2026	PRIMARY_RESULTS_TEXT_EXCERPT	乳腺癌细胞/荷瘤小鼠；具体细胞系待方法核定	Slc6a6遗传敲低与过表达	敲低抑制增殖；过表达促进生长、降低凋亡	牛磺酸摄取、ROS；Rprd1b/G1-S	补充了旧摘要仅过表达的认识；还存在非转运功能，不能归于唯一牛磺酸机制	GENETIC_BRCA	待解释	turn668076search0	2026已发表直接牛磺酸—Slc6a6工作；不能宣称CAMP首创	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.mdpi.com/2073-4409/15/2/207	https://www.mdpi.com/2073-4409/15/2/207
S100	SLC6A8	https://doi.org/10.1186/s13046-021-01933-7	SLC6A8-mediated intracellular creatine accumulation enhances hypoxic breast cancer cell survival via ameliorating oxidative stress	2021	PRIMARY_RESULTS_TEXT_EXCERPT	缺氧TNBC模型	SLC6A8相关干预（具体构建见全文）	肌酸积累支持存活/抗凋亡，AKT/ERK及抗氧化改变	胞内肌酸	特定缺氧背景；不能外推所有乳腺癌	INTERVENTION_METHOD_PENDING	待解释	turn723597search10		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://doi.org/10.1186/s13046-021-01933-7	https://doi.org/10.1186/s13046-021-01933-7
S101	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/35252218/	The Dual Regulation Effects of ESR1/NEDD4L on SLC7A11 in Breast Cancer Under Ionizing Radiation	2022	PRIMARY_ABSTRACT	ER+乳腺癌放疗背景	ESR1/SLC7A11敲低	增强放射诱导铁死亡	氧化应激/铁死亡	治疗依赖；不能作为未治疗普遍依赖	GENETIC_BRCA	待解释	turn723597search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35252218	https://pubmed.ncbi.nlm.nih.gov/35252218
S102	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/39833180/	Targeting estrogen-regulated system xc- promotes ferroptosis and endocrine sensitivity of ER+ breast cancer	2025	PRIMARY_FIGURE_CAPTIONS_AND_ABSTRACT	MCF7、ZR-75-1	两条shRNA敲低；SLC7A11/SLC3A2过表达救援	抑制生长/克隆；过表达减弱ER阻断效应；铁死亡与内分泌敏感性相关	Lipid ROS/转运系统	SLC7A11与重链SLC3A2角色不同；不等于CAMP组织谷氨酸直接通量	GENETIC_BRCA	待解释	turn723597search9		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/39833180	https://pubmed.ncbi.nlm.nih.gov/39833180
